myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj
TOMM34	0.966	1.31073415721807	0.932	1.31073415721807	1	0.818	NA
MAGEB2	0.961	1.73015249604314	0.922	1.73015249604314	0.977	0.364	NA
RHOXF2B	0.959	0.517587969919346	0.918	0.517587969919346	0.977	0.293	NA
KIF3A	0.956	0.924641458756043	0.912	0.924641458756043	1	0.778	NA
RHOXF2	0.956	0.624089938594587	0.912	0.624089938594587	0.943	0.162	NA
DPPA2	0.955	1.14418483480059	0.91	1.14418483480059	1	0.354	NA
ID1	0.954	1.4316825741697	0.908	1.4316825741697	1	0.788	NA
PABPC4	0.954	1.14960683890594	0.908	1.14960683890594	1	0.929	NA
XAGE1A	0.954	1.05741169609089	0.908	1.05741169609089	0.989	0.505	NA
ZCWPW1	0.951	1.10532692190287	0.902	1.10532692190287	1	0.889	NA
STK31	0.95	1.31864744165467	0.9	1.31864744165467	0.989	0.667	NA
DDX4	0.95	1.11293281110034	0.9	1.11293281110034	1	0.626	NA
XAGE1B	0.95	1.05516173722637	0.9	1.05516173722637	0.989	0.505	NA
TDRD1	0.948	1.08439295125245	0.896	1.08439295125245	1	0.444	NA
PAGE5	0.947	1.06076356295462	0.894	1.06076356295462	0.955	0.111	NA
CDK17	0.946	1.02115218667256	0.892	1.02115218667256	1	0.798	NA
VCY	0.945	0.695831689850857	0.89	0.695831689850857	0.966	0.141	NA
VCX3A	0.942	0.846052194480031	0.884	0.846052194480031	0.977	0.182	NA
DNAJB6	0.939	0.898576668210167	0.878	0.898576668210167	1	0.98	NA
HENMT1	0.937	1.03464455190489	0.874	1.03464455190489	1	0.778	NA
FHL1	0.937	0.94874239369253	0.874	0.94874239369253	0.989	0.323	NA
BZW1	0.936	0.7801128644761	0.872	0.7801128644761	1	0.98	NA
DCAF4L1	0.935	1.18868499926154	0.87	1.18868499926154	1	0.859	NA
ASZ1	0.935	0.710714925970991	0.87	0.710714925970991	0.955	0.192	NA
RHOXF1	0.934	0.775692463576038	0.868	0.775692463576038	0.932	0.141	NA
VCY1B	0.934	0.70232070056154	0.868	0.70232070056154	0.955	0.131	NA
TEX15	0.931	1.02463800393701	0.862	1.02463800393701	0.989	0.434	NA
CCNI	0.93	0.876252023103789	0.86	0.876252023103789	1	0.96	NA
TSPYL6	0.93	0.722421728417204	0.86	0.722421728417204	0.955	0.444	NA
HSF2	0.929	1.06057452731568	0.858	1.06057452731568	1	0.677	NA
SERF1B	0.929	0.43790791449754	0.858	0.43790791449754	0.989	0.788	NA
MORC1	0.928	1.01711143188416	0.856	1.01711143188416	0.943	0.313	NA
RNF219	0.928	0.90590264772113	0.856	0.90590264772113	1	0.384	NA
ITM2C	0.072	-0.675701726746659	0.856	-0.675701726746659	0.864	0.98	NA
MAGEC2	0.927	1.05705800041788	0.854	1.05705800041788	0.932	0.303	NA
FKBP6	0.927	0.585177937986892	0.854	0.585177937986892	0.955	0.232	NA
EIF5P1	0.925	0.514630777363772	0.85	0.514630777363772	1	0.879	NA
HOXC9	0.922	0.948507455209881	0.844	0.948507455209881	0.932	0.283	NA
MAEL	0.921	0.732406893750023	0.842	0.732406893750023	1	0.717	NA
COX8C	0.92	1.00030490436862	0.84	1.00030490436862	0.955	0.323	NA
LIN7B	0.92	0.35853470389511	0.84	0.35853470389511	0.989	0.414	NA
DCAF12	0.919	0.917414051856268	0.838	0.917414051856268	0.989	0.636	NA
SERF1A	0.919	0.422485392595739	0.838	0.422485392595739	1	0.808	NA
RBM46	0.917	0.933556190560698	0.834	0.933556190560698	1	0.667	NA
SRSF12	0.914	0.65577947398687	0.828	0.65577947398687	0.989	0.626	NA
SBNO1	0.913	0.810230429314323	0.826	0.810230429314323	1	0.939	NA
DCAF4L2	0.912	0.932407450500318	0.824	0.932407450500318	1	0.687	NA
AP1AR	0.91	0.67506756033635	0.82	0.67506756033635	1	0.596	NA
CCDC73	0.908	1.09363193149901	0.816	1.09363193149901	0.932	0.545	NA
SDAD1	0.908	0.825512583717438	0.816	0.825512583717438	1	0.869	NA
FOXR1	0.907	0.575834318400934	0.814	0.575834318400934	0.909	0.293	NA
RPL7P6	0.093	-0.793063338072219	0.814	-0.793063338072219	0.977	0.96	NA
RPL7P32	0.093	-0.979652163290821	0.814	-0.979652163290821	0.989	0.96	NA
DYNC1LI1	0.906	0.766981343459149	0.812	0.766981343459149	1	0.939	NA
FKBP8	0.906	0.481832498482843	0.812	0.481832498482843	0.977	0.566	NA
KRBOX1	0.905	0.785906281413616	0.81	0.785906281413616	0.92	0.253	NA
TDRD6	0.905	0.741107673567022	0.81	0.741107673567022	0.955	0.455	NA
TOP1MT	0.904	0.608606319387667	0.808	0.608606319387667	0.977	0.485	NA
TADA3	0.903	0.643691902488482	0.806	0.643691902488482	0.989	0.606	NA
TMSB4XP8	0.097	-0.602297081677558	0.806	-0.602297081677558	0.477	0.919	NA
RPL7P23	0.097	-1.04368537741135	0.806	-1.04368537741135	1	0.98	NA
HOXB7	0.902	0.694738139014065	0.804	0.694738139014065	0.977	0.667	NA
EIF5	0.902	0.599367924060355	0.804	0.599367924060355	1	0.99	NA
REC114	0.902	0.45840628796933	0.804	0.45840628796933	0.864	0.192	NA
FBXO7	0.901	0.752550863036177	0.802	0.752550863036177	1	0.899	NA
EIF1B	0.9	0.779982335198544	0.8	0.779982335198544	1	0.879	NA
MYL6	0.1	-1.45326137554852	0.8	-1.45326137554852	0.955	0.96	NA
CCDC172	0.899	0.794240572012875	0.798	0.794240572012875	0.92	0.444	NA
MARCH10	0.899	0.397522952142156	0.798	0.397522952142156	0.909	0.313	NA
RPL7P9	0.101	-1.16035643902655	0.798	-1.16035643902655	1	0.97	NA
DUSP22	0.898	0.662077421094248	0.796	0.662077421094248	0.989	0.566	NA
TMSB4X	0.102	-1.60539760855991	0.796	-1.60539760855991	0.943	0.98	NA
PEBP1	0.103	-1.36614312103455	0.794	-1.36614312103455	0.852	0.99	NA
NAP1L4	0.896	0.743649969430363	0.792	0.743649969430363	1	0.929	NA
CLOCK	0.895	0.808510755622971	0.79	0.808510755622971	1	0.859	NA
PIK3R3	0.895	0.678573391772439	0.79	0.678573391772439	1	0.697	NA
CALHM6	0.895	0.593098094901024	0.79	0.593098094901024	0.898	0.242	NA
RPL7	0.105	-1.1854369043577	0.79	-1.1854369043577	1	0.96	NA
SMC1B	0.894	0.877329779535941	0.788	0.877329779535941	0.977	0.677	NA
WASF1	0.894	0.772179393591944	0.788	0.772179393591944	0.989	0.616	NA
GMPS	0.894	0.485845357457142	0.788	0.485845357457142	1	0.657	NA
FAM178B	0.894	0.39876704418506	0.788	0.39876704418506	0.898	0.283	NA
RPL7P1	0.107	-1.16410758005522	0.786	-1.16410758005522	0.989	0.96	NA
NMU	0.892	0.81488741328913	0.784	0.81488741328913	0.909	0.323	NA
VPS26A	0.892	0.687820087304417	0.784	0.687820087304417	1	0.687	NA
ALKAL2	0.891	0.920709977187804	0.782	0.920709977187804	0.886	0.333	NA
BMPR1B	0.891	0.544696748049509	0.782	0.544696748049509	0.943	0.465	NA
AL592293.2	0.891	0.470164161749752	0.782	0.470164161749752	0.977	0.576	NA
MAP7D2	0.89	0.806565123106443	0.78	0.806565123106443	1	0.919	NA
CSRP2	0.89	0.707471953904022	0.78	0.707471953904022	0.92	0.475	NA
LYPLA1	0.89	0.693250124330963	0.78	0.693250124330963	1	0.798	NA
PIWIL2	0.888	0.731711656422144	0.776	0.731711656422144	1	0.687	NA
COPS7B	0.888	0.513102902498174	0.776	0.513102902498174	0.989	0.636	NA
RPL7P47	0.113	-0.453373044627589	0.774	-0.453373044627589	0.852	0.919	NA
LAPTM4A	0.113	-1.02594660367846	0.774	-1.02594660367846	1	0.96	NA
SEPT7	0.886	0.633104591517383	0.772	0.633104591517383	1	0.939	NA
KLHL35	0.886	0.626317249747828	0.772	0.626317249747828	0.989	0.636	NA
PIWIL4	0.885	0.810284611331241	0.77	0.810284611331241	0.943	0.586	NA
TP53TG3D	0.885	0.481831713462321	0.77	0.481831713462321	0.898	0.293	NA
AC016596.1	0.115	-1.06185031346977	0.77	-1.06185031346977	0.977	0.949	NA
FXYD6	0.115	-1.17592002880252	0.77	-1.17592002880252	0.5	0.879	NA
DNAJC2	0.884	0.789698288721876	0.768	0.789698288721876	1	0.808	NA
ZNF518A	0.884	0.763649942899651	0.768	0.763649942899651	1	0.98	NA
TBPL1	0.884	0.650190968862066	0.768	0.650190968862066	1	0.768	NA
CD63	0.116	-1.11997779563219	0.768	-1.11997779563219	0.852	0.929	NA
CCDC192	0.883	0.703805387195564	0.766	0.703805387195564	0.852	0.111	NA
RNPS1	0.883	0.668532147761049	0.766	0.668532147761049	1	0.889	NA
TAF4B	0.883	0.592959868975458	0.766	0.592959868975458	0.943	0.475	NA
BAIAP2L1	0.883	0.581435666749507	0.766	0.581435666749507	0.898	0.343	NA
HSPH1	0.882	0.730835967706591	0.764	0.730835967706591	1	0.838	NA
AP001324.1	0.881	0.638963143075462	0.762	0.638963143075462	1	0.97	NA
YPEL5	0.88	0.724734293261031	0.76	0.724734293261031	1	0.828	NA
AKR1B1	0.879	0.743921361682919	0.758	0.743921361682919	1	0.848	NA
TP53TG3	0.879	0.264909661233764	0.758	0.264909661233764	0.886	0.313	NA
AC090498.1	0.121	-1.18870030531272	0.758	-1.18870030531272	0.977	0.96	NA
YBX3	0.878	0.777556272948415	0.756	0.777556272948415	1	0.869	NA
HECTD1	0.878	0.719138793312094	0.756	0.719138793312094	1	0.97	NA
RSL24D1	0.878	0.702528740545273	0.756	0.702528740545273	1	0.889	NA
ELAVL2	0.876	0.783373195281835	0.752	0.783373195281835	1	0.818	NA
SIX1	0.875	0.793137559263501	0.75	0.793137559263501	0.898	0.545	NA
GYG1	0.875	0.78942920113858	0.75	0.78942920113858	0.989	0.657	NA
LSM6	0.875	0.722709276152556	0.75	0.722709276152556	1	0.818	NA
C5orf47	0.875	0.599666197711601	0.75	0.599666197711601	0.92	0.394	NA
PSIP1	0.874	0.754493752391688	0.748	0.754493752391688	1	0.899	NA
PSMG2	0.874	0.704154399783234	0.748	0.704154399783234	1	0.818	NA
LMO7	0.874	0.586832981891743	0.748	0.586832981891743	0.966	0.535	NA
FGFR1OP2	0.873	0.592560516963308	0.746	0.592560516963308	0.989	0.727	NA
RPL41P1	0.127	-1.05961208757714	0.746	-1.05961208757714	0.966	0.949	NA
SLC12A2	0.872	0.349199807576873	0.744	0.349199807576873	0.932	0.404	NA
SLC25A31	0.871	0.679634914678847	0.742	0.679634914678847	0.886	0.293	NA
TSPYL5	0.87	0.675198254156588	0.74	0.675198254156588	0.932	0.444	NA
COG6	0.87	0.506572235094826	0.74	0.506572235094826	0.977	0.657	NA
