myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj
SMARCA1	0.074	-1.02016050425397	0.852	-1.02016050425397	0.35	0.961	NA
PQLC3	0.909	1.43675119457802	0.818	1.43675119457802	0.9	0.496	NA
GLIPR2	0.909	1.23830358080528	0.818	1.23830358080528	0.967	0.803	NA
POU5F1B	0.909	0.617819068570006	0.818	0.617819068570006	0.867	0.283	NA
TCL1A	0.908	1.63141046107811	0.816	1.63141046107811	0.883	0.346	NA
NDUFAB1	0.905	1.32949610215497	0.81	1.32949610215497	0.967	0.921	NA
TOR3A	0.904	0.5372848422625	0.808	0.5372848422625	0.933	0.472	NA
CD99	0.096	-1.09518929630949	0.808	-1.09518929630949	0.55	0.929	NA
HELLS	0.902	1.29998316577946	0.804	1.29998316577946	0.967	0.866	NA
NPC2	0.902	0.703239181680669	0.804	0.703239181680669	0.983	0.866	NA
PLBD1	0.9	1.14313187288347	0.8	1.14313187288347	0.883	0.417	NA
KIT	0.9	0.994698617589657	0.8	0.994698617589657	0.9	0.598	NA
THY1	0.9	0.847265572430072	0.8	0.847265572430072	0.917	0.543	NA
PDPN	0.898	2.04449118692051	0.796	2.04449118692051	0.933	0.748	NA
NANOS3	0.898	1.53523829816149	0.796	1.53523829816149	0.85	0.276	NA
NANOG	0.895	0.925771552506172	0.79	0.925771552506172	0.867	0.425	NA
POU5F1	0.894	1.72689511987258	0.788	1.72689511987258	0.85	0.37	NA
FAM162B	0.894	0.943945399694355	0.788	0.943945399694355	0.9	0.52	NA
TFCP2L1	0.893	0.771856226360946	0.786	0.771856226360946	0.933	0.654	NA
CFLAR	0.892	1.07010296639397	0.784	1.07010296639397	0.983	0.953	NA
SOX15	0.892	0.901953539508553	0.784	0.901953539508553	0.883	0.496	NA
SFRP2	0.888	1.19785283287919	0.776	1.19785283287919	0.833	0.205	NA
L1TD1	0.888	1.18447773939131	0.776	1.18447773939131	0.967	0.811	NA
FAM46B	0.887	0.71579972140941	0.774	0.71579972140941	0.833	0.26	NA
MKRN1	0.886	0.962624316517671	0.772	0.962624316517671	0.933	0.858	NA
ETV4	0.885	0.600266888248704	0.77	0.600266888248704	0.9	0.425	NA
SLC25A16	0.884	0.586125539038111	0.768	0.586125539038111	0.9	0.417	NA
TXNDC12	0.882	0.901101785622735	0.764	0.901101785622735	0.95	0.622	NA
APOC1	0.877	0.996982058080839	0.754	0.996982058080839	0.883	0.362	NA
PFN1	0.877	0.849790772202113	0.754	0.849790772202113	0.983	0.953	NA
ELOVL6	0.876	0.863359350700434	0.752	0.863359350700434	0.9	0.551	NA
HINT1	0.875	0.728912430110014	0.75	0.728912430110014	0.967	0.921	NA
TFAP2C	0.873	0.517925623468649	0.746	0.517925623468649	0.817	0.165	NA
APRT	0.872	0.797731472588097	0.744	0.797731472588097	0.95	0.74	NA
ARPC1B	0.87	0.981285689161611	0.74	0.981285689161611	0.883	0.488	NA
VAMP2	0.13	-0.73164668905486	0.74	-0.73164668905486	0.867	0.945	NA
RPS17	0.869	0.86674352450414	0.738	0.86674352450414	0.983	0.984	NA
ZFP42	0.869	0.520707919452429	0.738	0.520707919452429	0.833	0.244	NA
RUNX1T1	0.131	-0.589382920431522	0.738	-0.589382920431522	0.783	0.984	NA
MTND1P23	0.131	-0.947131684815228	0.738	-0.947131684815228	0.983	1	NA
RPL26	0.867	0.661660764305164	0.734	0.661660764305164	1	0.969	NA
ID3	0.134	-1.15543814945048	0.732	-1.15543814945048	0.417	0.913	NA
HES1	0.134	-1.83351743086357	0.732	-1.83351743086357	0.35	0.843	NA
RPS23	0.865	0.700427070214913	0.73	0.700427070214913	1	0.961	NA
MT-ND1	0.135	-0.92856342312964	0.73	-0.92856342312964	0.967	0.992	NA
CHEK1	0.864	0.860435652206428	0.728	0.860435652206428	0.917	0.661	NA
STOM	0.863	0.857958700579144	0.726	0.857958700579144	0.85	0.425	NA
PRKAG2	0.138	-0.406078940038706	0.724	-0.406078940038706	0.8	0.976	NA
KHDC3L	0.861	1.5623627214118	0.722	1.5623627214118	0.783	0.26	NA
RNPEP	0.861	0.832559224082892	0.722	0.832559224082892	0.883	0.559	NA
RPSA	0.861	0.706255108545436	0.722	0.706255108545436	1	0.961	NA
CABYR	0.86	0.876416743305719	0.72	0.876416743305719	0.833	0.268	NA
MTCO3P12	0.141	-0.725204303309993	0.718	-0.725204303309993	0.983	1	NA
EIF3K	0.858	0.970496279243991	0.716	0.970496279243991	0.933	0.78	NA
PCYOX1	0.858	0.846984897212381	0.716	0.846984897212381	0.95	0.85	NA
TCP1	0.858	0.687745608783988	0.716	0.687745608783988	1	0.929	NA
TMED9	0.857	0.829044870559564	0.714	0.829044870559564	0.917	0.701	NA
HNRNPF	0.857	0.54357832644741	0.714	0.54357832644741	1	0.913	NA
MT-ND4	0.143	-0.733343478899385	0.714	-0.733343478899385	1	1	NA
SNRPB	0.856	0.892915477496767	0.712	0.892915477496767	0.95	0.835	NA
PIM2	0.855	0.860498556513277	0.71	0.860498556513277	0.817	0.362	NA
SCCPDH	0.145	-0.684712369574029	0.71	-0.684712369574029	0.433	0.906	NA
MTCO1P40	0.145	-0.776864692374071	0.71	-0.776864692374071	0.967	0.992	NA
HSPB1	0.145	-0.905569204607218	0.71	-0.905569204607218	0.95	0.976	NA
CD9	0.854	0.971420210322993	0.708	0.971420210322993	0.983	0.992	NA
AC079140.2	0.854	0.436901839302389	0.708	0.436901839302389	0.933	0.913	NA
CAPRIN2	0.146	-0.712995754639045	0.708	-0.712995754639045	0.983	1	NA
