Gene	M_19W_embryo1_26_sc1	M_19W_embryo1_26_sc2	M_19W_embryo1_26_sc3	M_19W_embryo1_26_sc4	M_19W_embryo1_26_sc5	M_19W_embryo1_26_sc6	M_19W_embryo1_26_sc7	M_19W_embryo1_26_sc8	M_19W_embryo1_26_sc9	M_19W_embryo1_26_sc10	M_19W_embryo1_26_sc11	M_19W_embryo1_26_sc12	M_19W_embryo1_26_sc13	M_19W_embryo1_26_sc14	M_19W_embryo1_26_sc15	M_19W_embryo1_26_sc16	M_19W_embryo1_26_sc17	M_19W_embryo1_26_sc18	M_19W_embryo1_26_sc19	M_19W_embryo1_26_sc20	M_19W_embryo1_26_sc21	M_19W_embryo1_26_sc22	M_19W_embryo1_26_sc24	M_19W_embryo1_26_sc25	M_19W_embryo1_26_sc26	M_19W_embryo1_26_sc27	M_19W_embryo1_26_sc28	M_19W_embryo1_26_sc29	M_19W_embryo1_26_sc30	M_19W_embryo1_26_sc31	M_19W_embryo1_26_sc32	M_19W_embryo1_26_sc33	M_19W_embryo1_26_sc35	M_19W_embryo1_26_sc36	M_19W_embryo1_26_sc37	M_19W_embryo1_26_sc38	M_19W_embryo1_26_sc39	M_19W_embryo1_26_sc40	M_19W_embryo1_26_sc41	M_19W_embryo1_26_sc42	M_19W_embryo1_26_sc43	M_19W_embryo1_26_sc44	M_19W_embryo1_26_sc45	M_19W_embryo1_26_sc46	M_19W_embryo1_26_sc47	M_19W_embryo1_26_sc48	M_19W_embryo1_26_sc49	M_19W_embryo1_26_sc50
A1BG	0	0	0	0	3.35	0	30.85	0	0	0	156.55	0	0	65.58	0	0	0	121.43	0	69.79	0	0	0	0	0	81.29	1.8	2.91	0	0	0	0	0	0	0	22.68	0	0	39.81	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	75.48	13.66	34.01	34.99	23.44	107.48	52.7	72.81	51.88	0	70.86	48.47	24.06	62.91	9.17	21.52	6.18	2.58	50.26	50.75	24.71	207.97	22.6	104.66	1.79	9.24	34.22	46.63	3.51	6.35	11.56	32.02	0	49.08	3.9	24.3	0	0	8.66	10.91	0	38.25	0	2.08	25.76	0	29.96	50.04
A2M-AS1	0	0	16.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.56	0	0	5.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	3.35	0	0	0	0	0	0	0	6.33	0	0	26.9	0	0	0	2.11	24.71	10.33	0	0	0	0	0	0	0	0	25.04	7.12	0	0	0	0	0	0	0	0	0	38.25	0	0	0	0	0	0
A2MP1	0	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.41	0	0	0	0	0	0	0	0	6.23	0	0	0	0	0	0	21.64	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23	0	0	0	9.42	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	40.04	0	0	0	0	0	0	0	0	0	2.11	0	0	1.88	0	0	0	0	61.2	10.53	0	0	1.19	0	0	0	0	0	0	29.43	0	0	0	0	0	3.43	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	231.3	93.35	238.05	258.61	127.26	69.86	136.25	101.05	64.85	88.52	278.49	389.57	168.43	153.92	270.45	52	170	95.59	47.98	48.64	26.96	313.89	216.59	152.75	184.55	323.31	77.44	136.98	99.46	177.82	296.61	116.21	35.58	179.98	118.31	124.74	207.32	324.28	346.22	52.97	145.91	168.94	135.18	199.55	106.47	281.15	254.64	113.55
AACS	0	0	0	0	0	0	0	0	11.53	0	56.03	0	1.27	0	0	0	0	2.58	2.28	27.49	0	0	0	0	0	0	0	0	5.85	0	0	0	1.62	0	1.3	0	34.55	0	19.04	56.09	0	0	0	0	0	0	0	0
AACSP1	0	25.05	0	0	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.71	0	0	110.62	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	16.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.62
AADACL2-AS1	0	0	8.1	0	0	37.62	0	0	0	0	0	0	0	4.02	0	0	0	0	11.42	0	0	0	0	25.46	0	0	0	0	0	0	0	0	0	10.91	0	0	0	0	0	0	0	0	0	8.31	0	9.29	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	68.01	0	167.44	53.74	32.14	2.97	200.31	18.97	161.49	46.68	0	0	18.34	1.79	0	67.17	79.97	0	0	16.79	99.82	113.15	0	40.64	90.04	72.86	22.23	31.75	152.16	5.93	87.32	89.99	26	22.68	18.85	56.19	53.66	52.97	40.41	0	1.24	2.08	0	0	21.64	0
AAED1	68.17	0	37.25	0	0	0	97.69	62.41	1.44	0	113.7	55.65	79.78	46.85	84.8	19.73	142.19	15.5	75.4	63.44	0	28.42	0	87.69	50.17	0	0	49.55	0	3.18	44.3	0	69.53	2.73	26	14.58	40.84	0	0	1.56	0	0	86.82	70.68	1.72	0	1.66	107.78
AAGAB	70.61	97.91	129.55	69.98	3.35	59.11	164.53	89.16	20.18	69.55	14.83	93.35	106.38	128.49	153.56	127.32	64.91	214.44	9.14	8.46	197.69	62	88.52	16.97	204.25	203.22	25.21	125.32	38.61	79.39	154.08	36.76	16.17	79.08	62.4	25.92	91.1	43.34	29.43	70.11	49.39	0	68.21	101.86	87.58	55.77	129.81	38.49
AAK1	340.87	0	220.24	150.6	331.54	698.63	165.82	63.9	51.88	115.92	121.94	71.81	176.03	0	0	304.85	0	82.68	105.1	332.02	188.7	282.89	193.99	107.49	21.5	44.34	86.44	8.74	77.23	304.84	30.82	110.28	155.24	111.8	191.11	265.67	40.84	194.25	58.86	232.15	271.62	0	202.16	66.52	73.84	68.55	104.85	338.74
AAMDC	17.04	111.57	17.81	150.6	154.05	0	1.29	106.99	79.26	55.85	260.36	25.13	98.78	92.35	48.13	28.69	55.64	95.59	221.62	99.39	181.96	1.29	52.74	22.63	3.58	269.73	48.62	61.2	98.29	95.26	3.85	234.8	54.98	57.26	132.61	89.1	12.57	0	112.52	90.37	109.99	3.19	50.85	41.57	209.51	206.8	76.56	48.12
AAMP	170.43	84.25	48.58	279.91	33.49	64.49	0	154.54	36.03	131.72	204.33	127.46	51.92	136.52	29.8	55.59	216.37	51.67	31.99	2.11	38.19	134.34	97.94	87.69	46.58	145.95	25.21	102.01	102.97	127.02	3.85	79.45	33.96	46.36	80.61	1.62	62.83	221.54	109.06	186.96	78.57	165.75	163.71	95.62	41.22	67.38	61.58	159.74
AANAT	0	0	0	0	26.79	0	0	0	1.44	0	0	0	0	0	0	0	0	7.75	0	0	0	0	1.88	0	16.13	0	0	0	0	0	0	0	97.03	0	0	19.44	43.98	9.63	0	0	0	0	0	10.39	0	25.56	0	9.62
AAR2	0	88.8	56.68	59.33	66.98	0	21.85	26.75	61.97	79.03	46.14	0	0	29.45	121.47	161.39	80.37	51.67	2.28	27.49	0	20.67	39.55	0	59.13	109	41.42	49.55	28.08	149.25	0	32.02	74.39	0	98.81	64.8	103.66	3.21	25.97	118.41	60.61	57.38	3.72	49.89	70.41	109.21	21.64	44.27
AARD	0	0	0	60.85	0	75.24	1.29	0	0	0	0	0	39.26	143.21	2.29	69.94	0	0	0	0	0	0	24.48	147.1	0	0	0	72.86	42.13	0	121.34	0	0	0	65.01	93.96	75.39	0	0	0	0	0	43.41	27.02	97.89	29.04	0	0
AARS	0	100.18	40.48	208.41	0	37.62	43.7	160.49	34.59	91.68	77.45	0	77.25	69.6	160.44	0	194.73	62.01	141.65	35.95	0	3.88	0	0	0	31.41	10.81	37.89	30.42	19.05	52	198.03	71.15	16.36	0	181.43	40.84	38.53	10.39	63.88	11.22	57.38	192.23	41.57	46.37	80.16	69.9	36.57
AARS2	0	0	0	1.52	0	0	0	0	5.76	1.05	0	0	0	0	0	0	0	2.58	0	0	0	0	1.88	0	0	1.85	0	0	0	0	0	0	0	130.89	0	51.84	28.27	0	0	0	2.24	0	59.53	2.08	0	0	0	0
AARSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	60.87	68.31	1.62	202.33	0	32.24	159.39	108.48	76.38	91.68	18.13	16.16	36.73	191.4	43.55	233.12	0	142.1	2.28	95.16	2.25	80.09	111.12	0	19.71	129.32	48.62	5.83	202.43	41.28	94.38	167.2	118.05	125.44	46.8	126.36	179.05	0	3.46	7.79	22.45	0	74.41	85.23	20.61	45.31	149.79	134.72
