Gene	M_19W_embryo2_103_sc1	M_19W_embryo2_103_sc2	M_19W_embryo2_103_sc3	M_19W_embryo2_103_sc4	M_19W_embryo2_103_sc5	M_19W_embryo2_103_sc6	M_19W_embryo2_103_sc7	M_19W_embryo2_103_sc8	M_19W_embryo2_103_sc9	M_19W_embryo2_103_sc10	M_19W_embryo2_103_sc11	M_19W_embryo2_103_sc12	M_19W_embryo2_103_sc13	M_19W_embryo2_103_sc14	M_19W_embryo2_103_sc15	M_19W_embryo2_103_sc16	M_19W_embryo2_103_sc17	M_19W_embryo2_103_sc18	M_19W_embryo2_103_sc19	M_19W_embryo2_103_sc20	M_19W_embryo2_103_sc21	M_19W_embryo2_103_sc22	M_19W_embryo2_103_sc23	M_19W_embryo2_103_sc24	M_19W_embryo2_103_sc25	M_19W_embryo2_103_sc26	M_19W_embryo2_103_sc27	M_19W_embryo2_103_sc28	M_19W_embryo2_103_sc29	M_19W_embryo2_103_sc30	M_19W_embryo2_103_sc31	M_19W_embryo2_103_sc32	M_19W_embryo2_103_sc33	M_19W_embryo2_103_sc34	M_19W_embryo2_103_sc35	M_19W_embryo2_103_sc36	M_19W_embryo2_103_sc37	M_19W_embryo2_103_sc38	M_19W_embryo2_103_sc39	M_19W_embryo2_103_sc40	M_19W_embryo2_103_sc41	M_19W_embryo2_103_sc42	M_19W_embryo2_103_sc43	M_19W_embryo2_103_sc44	M_19W_embryo2_103_sc45	M_19W_embryo2_103_sc46	M_19W_embryo2_103_sc47	M_19W_embryo2_103_sc48	M_19W_embryo2_103_sc49	M_19W_embryo2_103_sc50
A1BG	0	17.15	0	2.14	0	10.89	31.37	0	0	0	0	0	0	0	56.94	0	0	0	0	0	13.37	0	0	0	0	113.05	0	0	0	34.52	0	0	0	0	0	0	31.22	0	0	0	3.63	68.76	97.3	0	0	62.38	7.87	0	43.25	5.54
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	30.01	57.05	34.31	19.44	17.43	123.98	0	0	114.31	49.45	76.07	80.42	73.44	23.36	19.88	0	42.1	41.1	0	1.67	0	0	15.89	122.53	80.44	54.27	47.28	0	74.23	38.75	43.05	57.8	0	0	45.74	0	11.25	0	193.85	107.16	15.44	13.27	107.31	63.83	68.62	33.06	58.31	0	53.98
A2M-AS1	0	72.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.07	0	0	47.66	0	0	0	0	0	0	0	0	0	0	0	72.84	0	0	0	0	0	0	0	0	2.66	24.95	40.94	0	100.92	0
A2ML1	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	48.18	0	0	0	0	0	0	0	0	0	4.23	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	10.9	0	0	0	31.91	0	0	0	0	0
A2MP1	0	0	0	0	0	0	137.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	1.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45	0	0	0	0	0	0	27.62	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	72.38	2.14	171.16	177.97	147.74	32.68	131.45	73.25	88.22	110.94	138.46	162.05	211.31	65.5	178.13	36.7	160.74	422.66	100.71	53.43	163.78	36.6	0	460.7	76.05	2.17	181.8	85.11	79.17	110.48	237.33	45.59	63.39	0	95.98	196.5	144.73	238.46	83.6	173.44	250.65	106.65	132.68	65.23	61.17	106.04	135.41	141.17	45.31	52.59
AACS	0	0	0	0	0	0	0	0	0	0	0	0	61.5	0	0	0	20.41	1.68	0	0	0	0	0	0	0	65.22	0	0	0	0	0	0	0	0	0	49.13	0	18	0	0	0	0	0	0	0	0	0	0	0	0
AACSP1	0	0	0	0	0	2.18	0	0	0	63.88	0	0	0	0	1.46	0	0	0	10.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	3.8	27.21	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	1.23	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	63.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	13.95	0	0	0	6.61	0	0	0	0	0	0	24.66	0	0	0	0	0	21.13	0	0	0	46.92	0	19.37	0	18.65	0	0	20.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	21.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85	0	0	0	0	0	0	0
AADAT	1.77	4.29	109.61	64.33	0	0	46.31	132.55	19.6	48.75	1.1	16.54	53.62	87.34	1.46	114.67	2.55	121.24	10.28	119.57	0	84.76	0	15.89	0	67.39	0	30.73	76.24	107.02	9.69	27.86	111.87	0	64.73	55.9	0	42.74	235.61	81.62	116.24	1.4	11.79	206.2	0	56.14	0	110.48	0	5.54
